Postcode,SplitIndicator,CouncilArea2019Code,ElectoralWard2019Code,Islands2020Code,CouncilArea2019Name,ElectoralWard2019Name,Island2020Name,InhabitedStatus
DD5 3NXB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD5 4HTA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD5 4HTB,Y,S12000042,S13002552,000,Dundee City,The Ferry,Mainland,Y
DD8 1SLA,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
DD8 1SLB,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
DD9 7TXA,Y,S12000041,S13002868,000,Angus,Brechin and Edzell,Mainland,Y
DD9 7TXB,Y,S12000034,S13002866,000,Aberdeenshire,Mearns,Mainland,Y
DD9 7UXA,Y,S12000041,S13002868,000,Angus,Brechin and Edzell,Mainland,Y
DD9 7UXB,Y,S12000034,S13002866,000,Aberdeenshire,Mearns,Mainland,Y
DD9 7YPA,Y,S12000034,S13002866,000,Aberdeenshire,Mearns,Mainland,Y
DD9 7YPB,Y,S12000041,S13002868,000,Angus,Brechin and Edzell,Mainland,Y
DG14 0RUA,Y,S12000026,S13002771,000,Scottish Borders,Hawick and Hermitage,Mainland,Y
DG14 0RUB,Y,S12000006,S13002891,000,Dumfries and Galloway,Annandale East and Eskdale,Mainland,Y
DG14 0TFA,Y,S12000006,S13002891,000,Dumfries and Galloway,Annandale East and Eskdale,Mainland,Y
DG7 3TJA,Y,S12000006,S13002882,000,Dumfries and Galloway,Dee and Glenkens,Mainland,Y
DG7 3TJB,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
DG8 6TBA,Y,S12000028,S13003094,000,South Ayrshire,Girvan and South Carrick,Mainland,Y
DG8 6TBB,Y,S12000006,S13002881,000,Dumfries and Galloway,Mid Galloway and Wigtown West,Mainland,Y
EH10 7DUA,Y,S12000036,S13002926,000,City of Edinburgh,Colinton/Fairmilehead,Mainland,Y
EH10 7DUB,Y,S12000019,S13003021,000,Midlothian,Midlothian West,Mainland,Y
